Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite3,Chrome 60.0.3112.113,Test Cellphone and Email,2017-09-04 13:45:03,2017-09-04 13:45:24,20.662s,FAILED
,,,,,,
Test Cases/Test_Cellphone,Chrome 60.0.3112.113,,2017-09-04 13:45:04,2017-09-04 13:45:14,10.383s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 13:45:04,2017-09-04 13:45:07,2.685s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 13:45:07,2017-09-04 13:45:12,5.410s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:45:12,2017-09-04 13:45:12,0.173s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:45:12,2017-09-04 13:45:13,0.659s,PASSED
verifyTextPresent,Chrome 60.0.3112.113,,2017-09-04 13:45:13,2017-09-04 13:45:13,0.148s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:45:13,2017-09-04 13:45:13,0.171s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:45:13,2017-09-04 13:45:14,0.503s,PASSED
verifyTextNotPresent,Chrome 60.0.3112.113,,2017-09-04 13:45:14,2017-09-04 13:45:14,0.135s,PASSED
,,,,,,
Test Cases/Test_Email,Chrome 60.0.3112.113,,2017-09-04 13:45:14,2017-09-04 13:45:23,8.906s,FAILED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 13:45:14,2017-09-04 13:45:17,3.161s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 13:45:17,2017-09-04 13:45:22,4.937s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:45:22,2017-09-04 13:45:23,0.152s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:45:23,2017-09-04 13:45:23,0.080s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:45:23,2017-09-04 13:45:23,0.378s,FAILED
