Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite3,Chrome 60.0.3112.113,Test Cellphone and Email,2017-09-04 13:44:05,2017-09-04 13:44:27,22.495s,FAILED
,,,,,,
Test Cases/Test_Cellphone,Chrome 60.0.3112.113,,2017-09-04 13:44:05,2017-09-04 13:44:17,12.072s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 13:44:06,2017-09-04 13:44:09,2.999s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 13:44:09,2017-09-04 13:44:15,6.736s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:44:15,2017-09-04 13:44:15,0.195s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:44:15,2017-09-04 13:44:16,0.646s,PASSED
verifyTextPresent,Chrome 60.0.3112.113,,2017-09-04 13:44:16,2017-09-04 13:44:16,0.147s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:44:16,2017-09-04 13:44:16,0.169s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:44:16,2017-09-04 13:44:17,0.536s,PASSED
verifyTextNotPresent,Chrome 60.0.3112.113,,2017-09-04 13:44:17,2017-09-04 13:44:17,0.135s,PASSED
,,,,,,
Test Cases/Test_Email,Chrome 60.0.3112.113,,2017-09-04 13:44:17,2017-09-04 13:44:26,8.982s,FAILED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 13:44:17,2017-09-04 13:44:21,3.257s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 13:44:21,2017-09-04 13:44:26,4.852s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:44:26,2017-09-04 13:44:26,0.151s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:44:26,2017-09-04 13:44:26,0.083s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:44:26,2017-09-04 13:44:26,0.372s,FAILED
