Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite3,IE 11,Test Cellphone and Email,2017-09-04 14:05:32,2017-09-04 14:06:38,1m - 6.755s,FAILED
,,,,,,
Test Cases/Test_Cellphone,IE 11,,2017-09-04 14:05:32,2017-09-04 14:06:28,56.590s,FAILED
openBrowser,IE 11,,2017-09-04 14:05:32,2017-09-04 14:05:43,10.432s,PASSED
navigateToUrl,IE 11,,2017-09-04 14:05:43,2017-09-04 14:05:43,0.298s,PASSED
setText,IE 11,,2017-09-04 14:05:43,2017-09-04 14:06:28,45.493s,FAILED
,,,,,,
Test Cases/Test Email1,IE 11,,2017-09-04 14:06:28,2017-09-04 14:06:37,8.767s,FAILED
openBrowser,IE 11,,2017-09-04 14:06:29,2017-09-04 14:06:34,5.312s,PASSED
navigateToUrl,IE 11,,2017-09-04 14:06:34,2017-09-04 14:06:34,0.342s,PASSED
setText,IE 11,,2017-09-04 14:06:34,2017-09-04 14:06:37,2.840s,FAILED
