Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite3,Chrome 60.0.3112.113,Test Cellphone and Email,2017-09-04 14:08:52,2017-09-04 14:09:13,21.328s,FAILED
,,,,,,
Test Cases/Test_Cellphone,Chrome 60.0.3112.113,,2017-09-04 14:08:52,2017-09-04 14:09:03,10.793s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 14:08:53,2017-09-04 14:08:56,3.411s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 14:08:56,2017-09-04 14:09:01,5.152s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 14:09:01,2017-09-04 14:09:01,0.161s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 14:09:01,2017-09-04 14:09:02,0.659s,PASSED
verifyTextPresent,Chrome 60.0.3112.113,,2017-09-04 14:09:02,2017-09-04 14:09:02,0.138s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 14:09:02,2017-09-04 14:09:02,0.161s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 14:09:02,2017-09-04 14:09:03,0.570s,PASSED
verifyTextNotPresent,Chrome 60.0.3112.113,,2017-09-04 14:09:03,2017-09-04 14:09:03,0.131s,PASSED
,,,,,,
Test Cases/Test Email1,Chrome 60.0.3112.113,,2017-09-04 14:09:03,2017-09-04 14:09:12,9.013s,FAILED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 14:09:03,2017-09-04 14:09:07,3.213s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 14:09:07,2017-09-04 14:09:12,5.019s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 14:09:12,2017-09-04 14:09:12,0.168s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 14:09:12,2017-09-04 14:09:12,0.435s,FAILED
