Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite3,Chrome 60.0.3112.113,Test Cellphone and Email,2017-09-04 13:54:45,2017-09-04 13:55:06,21.559s,FAILED
,,,,,,
Test Cases/Test_Cellphone,Chrome 60.0.3112.113,,2017-09-04 13:54:45,2017-09-04 13:54:56,10.758s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 13:54:46,2017-09-04 13:54:49,3.077s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 13:54:49,2017-09-04 13:54:54,5.306s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:54:54,2017-09-04 13:54:54,0.199s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:54:54,2017-09-04 13:54:55,0.675s,PASSED
verifyTextPresent,Chrome 60.0.3112.113,,2017-09-04 13:54:55,2017-09-04 13:54:55,0.145s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:54:55,2017-09-04 13:54:55,0.171s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:54:55,2017-09-04 13:54:56,0.545s,PASSED
verifyTextNotPresent,Chrome 60.0.3112.113,,2017-09-04 13:54:56,2017-09-04 13:54:56,0.156s,PASSED
,,,,,,
Test Cases/Test_Email,Chrome 60.0.3112.113,,2017-09-04 13:54:56,2017-09-04 13:55:05,9.273s,FAILED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 13:54:56,2017-09-04 13:54:59,3.436s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 13:54:59,2017-09-04 13:55:05,5.050s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:55:05,2017-09-04 13:55:05,0.153s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:55:05,2017-09-04 13:55:05,0.409s,FAILED
