Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite3,Chrome 60.0.3112.113,Test Cellphone and Email,2017-09-04 13:39:50,2017-09-04 13:40:11,21.331s,FAILED
,,,,,,
Test Cases/Test_Cellphone,Chrome 60.0.3112.113,,2017-09-04 13:39:50,2017-09-04 13:40:01,10.866s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 13:39:51,2017-09-04 13:39:54,3.434s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 13:39:54,2017-09-04 13:39:59,5.109s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:39:59,2017-09-04 13:39:59,0.187s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:39:59,2017-09-04 13:40:00,0.623s,PASSED
verifyTextPresent,Chrome 60.0.3112.113,,2017-09-04 13:40:00,2017-09-04 13:40:00,0.138s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:40:00,2017-09-04 13:40:00,0.163s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:40:00,2017-09-04 13:40:01,0.672s,PASSED
verifyTextNotPresent,Chrome 60.0.3112.113,,2017-09-04 13:40:01,2017-09-04 13:40:01,0.127s,PASSED
,,,,,,
Test Cases/Test_Email,Chrome 60.0.3112.113,,2017-09-04 13:40:01,2017-09-04 13:40:10,9.026s,FAILED
openBrowser,Chrome 60.0.3112.113,,2017-09-04 13:40:01,2017-09-04 13:40:05,3.125s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-04 13:40:05,2017-09-04 13:40:10,5.000s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:40:10,2017-09-04 13:40:10,0.150s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-04 13:40:10,2017-09-04 13:40:10,0.078s,PASSED
click,Chrome 60.0.3112.113,,2017-09-04 13:40:10,2017-09-04 13:40:10,0.452s,FAILED
