Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite3,Firefox 54.0,Test Cellphone and Email,2017-09-04 14:06:33,2017-09-04 14:07:11,37.592s,PASSED
,,,,,,
Test Cases/Test_Cellphone,Firefox 54.0,,2017-09-04 14:06:33,2017-09-04 14:06:52,18.542s,PASSED
openBrowser,Firefox 54.0,,2017-09-04 14:06:34,2017-09-04 14:06:44,9.820s,PASSED
navigateToUrl,Firefox 54.0,,2017-09-04 14:06:44,2017-09-04 14:06:48,4.391s,PASSED
setText,Firefox 54.0,,2017-09-04 14:06:48,2017-09-04 14:06:49,0.337s,PASSED
click,Firefox 54.0,,2017-09-04 14:06:49,2017-09-04 14:06:49,0.743s,PASSED
verifyTextPresent,Firefox 54.0,,2017-09-04 14:06:49,2017-09-04 14:06:50,0.896s,PASSED
setText,Firefox 54.0,,2017-09-04 14:06:50,2017-09-04 14:06:50,0.166s,PASSED
click,Firefox 54.0,,2017-09-04 14:06:50,2017-09-04 14:06:51,0.684s,PASSED
verifyTextNotPresent,Firefox 54.0,,2017-09-04 14:06:51,2017-09-04 14:06:52,0.879s,PASSED
,,,,,,
Test Cases/Test Email1,Firefox 54.0,,2017-09-04 14:06:52,2017-09-04 14:07:10,18.563s,PASSED
openBrowser,Firefox 54.0,,2017-09-04 14:06:52,2017-09-04 14:06:57,5.401s,PASSED
navigateToUrl,Firefox 54.0,,2017-09-04 14:06:57,2017-09-04 14:07:02,4.401s,PASSED
setText,Firefox 54.0,,2017-09-04 14:07:02,2017-09-04 14:07:02,0.179s,PASSED
click,Firefox 54.0,,2017-09-04 14:07:02,2017-09-04 14:07:03,1.170s,PASSED
verifyTextPresent,Firefox 54.0,,2017-09-04 14:07:03,2017-09-04 14:07:04,1.261s,PASSED
setText,Firefox 54.0,,2017-09-04 14:07:04,2017-09-04 14:07:05,0.311s,PASSED
click,Firefox 54.0,,2017-09-04 14:07:05,2017-09-04 14:07:06,0.712s,PASSED
verifyTextPresent,Firefox 54.0,,2017-09-04 14:07:06,2017-09-04 14:07:06,0.916s,PASSED
setText,Firefox 54.0,,2017-09-04 14:07:06,2017-09-04 14:07:07,0.145s,PASSED
click,Firefox 54.0,,2017-09-04 14:07:07,2017-09-04 14:07:07,0.727s,PASSED
verifyTextNotPresent,Firefox 54.0,,2017-09-04 14:07:07,2017-09-04 14:07:08,0.868s,PASSED
setText,Firefox 54.0,,2017-09-04 14:07:08,2017-09-04 14:07:08,0.118s,PASSED
click,Firefox 54.0,,2017-09-04 14:07:08,2017-09-04 14:07:09,0.682s,PASSED
verifyTextPresent,Firefox 54.0,,2017-09-04 14:07:09,2017-09-04 14:07:10,0.863s,PASSED
closeBrowser,Firefox 54.0,,2017-09-04 14:07:10,2017-09-04 14:07:10,0.650s,PASSED
